label,text,text_length,processed_text
ham,I like you peoples very much:) but am very shy pa.,50,like peopl much shi pa
ham,Does not operate after  &lt;#&gt;  or what,42,oper ltgt
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,76,still look job much ta earn
ham,"Sorry, I'll call later",22,sorri ill call later
ham,K. Did you call me just now ah?,31,k call ah
ham,Ok i am on the way to home hi hi,32,ok way home hi hi
ham,You will be in the place of that man,36,place man
ham,Yup next stop.,14,yup next stop
ham,"I call you later, don't have network. If urgnt, sms me.",55,call later dont network urgnt sm
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,121,real u get yo need ticket one jacket im done alreadi use multi
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,144,ye start send request make pain came back im back bed doubl coin factori gotta cash nitro
ham,I'm really not up to it still tonight babe,42,im realli still tonight babe
ham,"Ela kano.,il download, come wen ur free..",41,ela kanoil download come wen ur free
ham,Yeah do! Don���t stand to close tho- you���ll catch something!,62,yeah don���t stand close tho you���ll catch someth
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,194,sorri pain ok meet anoth night spent late afternoon casualti mean havent done stuffmoro includ time sheet sorri
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,141,smile pleasur smile pain smile troubl pour like rain smile sum hurt u smile becoz someon still love see u smile
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed �1000 cash or �5000 prize!,137,pleas call custom servic repres ampm guarante � cash � prize
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,107,havent plan buy later check alreadi lido got show e afternoon u finish work alreadi
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",125,free rington wait collect simpli text password mix verifi get usher britney fml
ham,Watching telugu movie..wat abt u?,33,watch telugu moviewat abt u
ham,i see. When we finish we have loads of loans to pay,51,see finish load loan pay
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""
ham""",184,hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u ham
ham,Please don't text me anymore. I have nothing else to say.,57,pleas dont text anymor noth els say
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,81,okay name ur price long legal wen pick u ave x am xx
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,76,im still look car buy gone drive test yet
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",183,wow your right didnt mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston
ham,Umma my life and vava umma love you lot dear,44,umma life vava umma love lot dear
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,95,thank lot wish birthday thank make birthday truli memor
ham,"Aight, I'll hit you up when I get some cash",43,aight ill hit get cash
ham,How would my ip address test that considering my computer isn't a minecraft server,82,would ip address test consid comput isnt minecraft server
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,115,know grumpi old peopl mom like better lie alway one play joke
ham,Dont worry. I guess he's busy.,30,dont worri guess he busi
ham,What is the plural of the noun research?,40,plural noun research
ham,Going for dinner.msg you after.,31,go dinnermsg
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,96,im ok wif co like tri new thing scare u dun like mah co u said loud
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a �1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,158,gent tri contact last weekend draw show � prize guarante call claim code k valid hr ppm
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",143,wa ur openin sentenc formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happen
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",156,enter cabin pa said happi bday boss felt special askd lunch lunch invit apart went
spam,You are a winner U have been specially selected 2 receive �1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),151,winner u special select receiv � holiday flight inc speak live oper claim pmin
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,71,goodo ye must speak friday eggpotato ratio tortilla need
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,86,hmmmi uncl inform he pay school directli pl buy food
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,144,privat account statement show unredeem bonu point claim call identifi code expir
spam,"URGENT! Your Mobile No. was awarded �2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",156,urgent mobil award � bonu caller prize final tri contact u call landlin boxwrc ppm
ham,here is my new address -apples&pairs&all that malarky,53,new address applespairsal malarki
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,156,today voda number end select receiv award match pleas call quot claim code standard rate app
ham,I am going to sao mu today. Will be done only at 12,51,go sao mu today done
ham,�� predict wat time �_'ll finish buying?,40,�� predict wat time �ll finish buy
ham,"Good stuff, will do.",20,good stuff
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",244,knowyetund hasnt sent money yet sent text bother send dont involv anyth shouldnt impos anyth first place apologis
ham,Are you there in room.,22,room
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,107,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
ham,K..k:)how much does it cost?,28,kkhow much cost
ham,I'm home.,9,im home
ham,"Dear, will call Tmorrow.pls accomodate.",39,dear call tmorrowpl accomod
ham,First answer my question.,25,first answer question
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. �1.50 SP:Tyrone,125,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr � sptyron
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,162,want get laid tonight want real dog locat sent direct ur mob join uk largest dog network bt txting gravel nt eca pmsgp
ham,I only haf msn. It's yijue@hotmail.com,38,haf msn yijuehotmailcom
ham,He is there. You call and meet him,34,call meet
ham,No no. I will check all rooms befor activities,46,check room befor activ
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,155,youll rcv msg chat svc free hardcor servic text go u get noth u must age verifi yr network tri
ham,Got c... I lazy to type... I forgot �_ in lect... I saw a pouch but like not v nice...,86,got c lazi type forgot � lect saw pouch like v nice
ham,"K, text me when you're on the way",33,k text your way
ham,"Sir, Waiting for your mail.",27,sir wait mail
ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",158,swt thought nver get tire littl thing lovabl person cozsomtim littl thing occupi biggest part heart gud ni
ham,I know you are. Can you pls open the back?,42,know pl open back
ham,Yes see ya not on the dot,25,ye see ya dot
ham,Whats the staff name who is taking class for us?,48,what staff name take class us
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",159,freemsg havent repli text im randi sexi femal live local luv hear u netcollex ltd p per msg repli stop end
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,84,ummmawil call check inour life begin qatar pl pray hard
ham,K..i deleted my contact that why?,33,ki delet contact
ham,Sindu got job in birla soft ..,30,sindu got job birla soft
ham,The wine is flowing and i'm i have nevering..,45,wine flow im never
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,59,yup thk cine better co need go plaza mah
ham,Ok... Ur typical reply...,25,ok ur typic repli
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",384,everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show ill see guess like thing must exist like rain hail mist time done becom one
ham,Aaooooright are you at work?,28,aaooooright work
ham,I'm leaving my house now...,27,im leav hous
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",157,hello love get interview today happi good boy think mear miss
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,124,custom servic annonc new year deliveri wait pleas call arrang deliveri
spam,You are a winner U have been specially selected 2 receive �1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,145,winner u special select receiv � cash holiday flight inc speak live oper claim
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,115,keep safe need miss alreadi envi everyon see real life
ham,New car and house for my parents.:)i have only new job in hand:),64,new car hous parentsi new job hand
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,85,im love im excit day spend make happi
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,152,pl stop bootydeli f invit friend repli ye see stop send stop frnd
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",155,bangbab ur order way u receiv servic msg download ur content u goto wap bangb tv ur mobil internetservic menu
ham,I place all ur points on e cultures module already.,51,place ur point e cultur modul alreadi
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a �900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,156,urgent tri contact last weekend draw show � prize guarante call claim code valid hr
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",74,hi frnd best way avoid missunderstd wit belov one
ham,Great escape. I fancy the bridge but needs her lager. See you tomo,66,great escap fanci bridg need lager see tomo
ham,Yes :)it completely in out of form:)clark also utter waste.,59,ye complet formclark also utter wast
ham,"Sir, I need AXIS BANK account no and bank address.",50,sir need axi bank account bank address
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",94,hmmm thk sure got time hop ard ya go free abt muz call u discuss liao
ham,What time you coming down later?,32,time come later
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",105,bloodi hell cant believ forgot surnam mr ill give u clue spanish begin
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",61,well im gonna finish bath goodfin night
ham,Let me know when you've got the money so carlos can make the call,65,let know youv got money carlo make call
ham,U still going to the mall?,26,u still go mall
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",146,turn friend stay whole show wont back til ltgt feel free go ahead smoke ltgt worth
ham,Text her. If she doesnt reply let me know so i can have her log in,66,text doesnt repli let know log
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,126,hi spoke maneesha v wed like know satisfi experi repli toll free ye
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,159,lift hope offer money need especi end month approach hurt studi anyway gr weekend
ham,Lol no. U can trust me.,23,lol u trust
ham,ok. I am a gentleman and will treat you with dignity and respect.,65,ok gentleman treat digniti respect
ham,"He will, you guys close?",24,guy close
ham,Going on nothing great.bye,26,go noth greatby
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,152,hello handsom find job lazi work toward get back net mummi where boytoy miss
ham,"Haha awesome, be there in a minute",34,haha awesom minut
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed �1000 cash or �5000 prize!,147,pleas call custom servic repres freephon ampm guarante � cash � prize
ham,Have you got Xmas radio times. If not i will get it now,55,got xma radio time get
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,88,ju reach home go bath first si use net tell u finish k
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,72,uniqu enough find th august
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,185,im sorri ive join leagu peopl dont keep touch mean great deal friend time even great person cost great week
ham,Hi :)finally i completed the course:),37,hi final complet cours
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,111,stop howev suggest stay someon abl give or everi stool
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,92,hope youv settl new school year wishin gr day
ham,Gud mrng dear hav a nice day,28,gud mrng dear hav nice day
ham,Did u got that persons story,28,u got person stori
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,63,hamster dead hey tmr meet pm orchard mrt
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,131,hi kate even hope see tomorrow bit bloodi babyjontet txt back u xxx
ham,"Found it, ENC  &lt;#&gt; , where you at?",40,found enc ltgt
ham,I sent you  &lt;#&gt;  bucks,28,sent ltgt buck
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,84,hello darlin ive finish colleg txt u finish u love kate xxx
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,174,account refil success inr ltdecimalgt keralacircl prepaid account balanc rs ltdecimalgt transact id kr ltgt
ham,Goodmorning sleeping ga.,24,goodmorn sleep ga
ham,U call me alter at 11 ok.,25,u call alter ok
ham,�� say until like dat i dun buy ericsson oso cannot oredi lar...,64,�� say like dat dun buy ericsson oso cannot oredi lar
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",156,enter cabin pa said happi bday boss felt special askd lunch lunch invit apart went
ham,"Aight yo, dats straight dogg",28,aight yo dat straight dogg
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,86,pleas give us connect today ltdecimalgt refund bill
ham,Both :) i shoot big loads so get ready!,39,shoot big load get readi
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",73,what bruv hope great break reward semest
ham,Home so we can always chat,26,home alway chat
ham,K:)k:)good:)study well.,23,kkgoodstudi well
ham,Yup... How �_ noe leh...,24,yup � noe leh
ham,Sounds great! Are you home now?,31,sound great home
ham,Finally the match heading towards draw as your prediction.,58,final match head toward draw predict
ham,Tired. I haven't slept well the past few nights.,48,tire havent slept well past night
ham,Easy ah?sen got selected means its good..,41,easi ahsen got select mean good
ham,I have to take exam with march 3,32,take exam march
ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,159,yeah think use gt atm regist sure there anyway help let know sure readi
ham,Ok no prob. Take ur time.,25,ok prob take ur time
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,161,os call ubandu run without instal hard diskyou use os copi import file system give repair shop
ham,"Sorry, I'll call later",22,sorri ill call later
ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,119,u say leh cours noth happen lar say v romant ju bit lor thk e nite sceneri nice leh
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY �1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",142,new mobil must go txt nokia collect todayfrom � optout gbpmtmsg
ham,Would really appreciate if you call me. Just need someone to talk to.,69,would realli appreci call need someon talk
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",137,u meet ur dream partner soon ur career flyng start find free txt horo follow ur star sign e g horo ari
ham,Hey company elama po mudyadhu.,30,hey compani elama po mudyadhu
ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",165,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happi morn
ham,Dear good morning now only i am up,34,dear good morn
ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,109,get gandhipuram walk cross cut road right side ltgt street road turn first right
ham,Dear we are going to our rubber place,37,dear go rubber place
ham,"Sorry battery died, yeah I'm here",33,sorri batteri die yeah im
ham,Yes:)here tv is always available in work place..,48,yesher tv alway avail work place
spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,157,text meet someon sexi today u find date even flirt u join p repli name age eg sam msg recdthirtyeight penc
ham,I have printed it oh. So  &lt;#&gt;  come upstairs,50,print oh ltgt come upstair
ham,Or ill be a little closer like at the bus stop on the same street,65,ill littl closer like bu stop street
ham,Where are you?when wil you reach here?,38,youwhen wil reach
